,Location.No.,Road.Name,Lat,Long,Survey.Date,District,road_width,crash_count,outcome,car_vol,mtw_vol,m3w_vol,bus_vol,LCV_vol,HCV_vol,cycle_vol,cyr_vol,ecyr_vol,total_vol,origin_segment_for_speed_calculation,destination_segment_for_speed_calculation,speed_00.30,speed_01.30,speed_02.30,speed_03.30,speed_04.30,speed_05.30,speed_06.30,speed_07.30,speed_08.30,speed_09.30,speed_10.30,speed_11.30,speed_12.30,speed_13.30,speed_14.30,speed_15.30,speed_16.30,speed_17.30,speed_18.30,speed_19.30,speed_20.30,speed_21.30,speed_22.30,speed_23.30,average_speed,pop_100m_buffer,length_segment
12,12,Mahatma Gandhi Marg ,28.59743,77.255849,10-02-2018,South East ,14,2,1,11304,7499,5575,820,1385,580,127,78,0,27368,"28.599192067325127, 77.25537907354287","28.595720356537353, 77.25650628359828",46.68387097,48.24,49.90344828,49.90344828,49.90344828,53.6,53.6,55.66153846,53.6,48.24,49.90344828,46.68387097,46.68387097,45.225,46.68387097,48.24,48.24,49.90344828,49.90344828,49.90344828,46.68387097,49.90344828,51.68571429,46.68387097,49.4026277,1139.603806,1187.4
13,13,Bahadur Shah Zafar Marg ,28.632,77.24091,12-02-2018,Central ,12,0,0,2706,2417,1916,452,46,8,119,66,209,7939,"28.630217632423218, 77.24108387026764","28.6338354872267, 77.24080157529202",43.96363636,40.3,40.3,43.96363636,45.3375,45.3375,39.21081081,38.17894737,34.54285714,29.60816327,29.016,31.53913043,31.53913043,30.86808511,30.225,31.53913043,30.86808511,25.90714286,28.44705882,26.37818182,32.97272727,36.27,38.17894737,40.3,35.19965296,424.986249,2220.09
14,14,Mathura Road ,28.6164,77.240201,12-02-2018,New Delhi ,12,1,1,7548,3547,2175,398,52,29,234,44,8,14035,"28.613041385354574, 77.24006157966082","28.61665634663963, 77.2402076235165",26.8,27.83076923,31.46086957,30.79148936,27.30566038,26.8,28.944,30.15,28.37647059,25.84285714,22.6125,20.67428571,20.97391304,23.34193548,23.72459016,24.52881356,25.38947368,22.97142857,19.82465753,17.86666667,23.34193548,24.95172414,26.31272727,22.6125,25.14288615,206.603825,1136.53
15,15,Netaji Subhash Marg ,28.6553,77.236541,2/13/2018,Central ,9,0,0,3540,4137,3062,767,190,16,264,972,1099,14047,"28.652425793050668, 77.23698441139227","28.655931328319056, 77.23660042351678",23.78360656,25.0137931,25.0137931,26.37818182,28.44705882,27.9,25.45263158,23.02857143,21.98181818,19.08947368,15.1125,13.95,13.43333333,13.18909091,14.08543689,12.61565217,12.83893805,11.79512195,11.99008264,11.334375,11.24651163,14.80408163,19.60540541,21.65373134,18.48929955,3737.015836,1476.83
16,16,Ashoka Road ,28.62387,77.212055,2/15/2018,New Delhi ,12,0,0,7643,5085,3612,480,283,10,237,20,1,17371,"28.625653291172416, 77.20898496264805","28.62371694640113, 77.21241843627038",28.09411765,28.656,28.656,34.94634146,40.93714286,40.93714286,36.73846154,34.94634146,33.32093023,24.70344828,23.88,25.58571429,24.70344828,26.05090909,26.05090909,27.03396226,24.70344828,23.88,21.07058824,25.58571429,23.10967742,26.05090909,29.24081633,26.53333333,28.55897318,729.930632,1018.19
17,17,Bhavbhuti Marg ,28.64139,77.22354,2/15/2018,Central ,7,0,0,7374,4000,2956,467,919,30,102,450,17,16315,"28.643218677722135, 77.2237076734634","28.63961115519177, 77.22341043856734",12.85714286,14.11764706,11.52,12.20338983,12.30769231,9.290322581,7.783783784,8.780487805,9.72972973,10.06993007,8.888888889,8.674698795,11.07692308,11.33858268,10.35971223,10.28571429,8.08988764,9.473684211,10.90909091,9,10.14084507,9.931034483,10.58823529,10.14084507,10.31492786,5718.381717,656.74
18,18,Vandemataram Marg ,28.6388,77.19372,2/16/2018,New Delhi ,9,0,0,4864,2696,525,121,477,123,26,20,11,8863,"28.63734660631236, 77.19252994226076","28.640424094910063, 77.19467654685928",50.02758621,50.02758621,50.02758621,51.81428571,50.02758621,51.81428571,50.02758621,50.02758621,48.36,48.36,46.8,43.96363636,39.21081081,43.96363636,41.45142857,43.96363636,42.67058824,42.67058824,42.67058824,41.45142857,42.67058824,42.67058824,46.8,48.36,46.24298362,0,2862.02
19,19,Ramkrishna Ashram Marg ,28.63913,77.207568,2/16/2018,New Delhi ,7,0,0,3367,2766,1792,204,81,18,152,339,643,9362,"28.636158486752496, 77.20617557371932","28.639355620150802, 77.2076067094026",34.45714286,36.18,35.29756098,34.45714286,35.29756098,34.45714286,30.79148936,30.15,28.944,28.944,26.8,25.38947368,27.30566038,25.38947368,27.83076923,28.37647059,28.37647059,26.31272727,23.72459016,27.30566038,28.37647059,29.53469388,32.16,33.65581395,29.9797631,1554.811485,1325.88
20,20,Rani Jhansi Road ,28.65934,77.20312,2/17/2018,Central ,7,0,0,4080,11816,2654,258,713,98,495,755,780,21649,"28.660889694435312, 77.20413946528963","28.657616086900248, 77.20357513858727",29.53469388,32.89090909,33.65581395,37.10769231,39.11351351,40.2,37.10769231,33.65581395,31.46086957,28.37647059,26.31272727,24.12,22.97142857,23.34193548,23.34193548,24.52881356,23.34193548,24.52881356,21.92727273,21.28235294,22.26461538,24.52881356,27.83076923,29.53469388,28.45664901,3830.840004,2943.46
21,21,Gurjar Samrat Mihir Bhoj ,28.61828,77.29074,2/19/2018,East ,16,0,0,22475,7356,1657,203,666,196,50,9,2,32614,"28.61897804157431, 77.29264324501185","28.61762761570229, 77.2888393890148",68.74285714,72.18,72.18,72.18,72.18,75.97894737,75.97894737,72.18,62.76521739,55.52307692,65.61818182,65.61818182,68.74285714,68.74285714,68.74285714,68.74285714,68.74285714,68.74285714,68.74285714,65.61818182,68.74285714,68.74285714,68.74285714,72.18,69.01467346,1295.26794,6377.61
22,22,Vikas Marg ,28.63779,77.28937,2/19/2018,East ,12,1,1,6671,7609,1709,427,94,34,416,427,203,17590,"28.63874984288637, 77.29114235073264","28.636881769284052, 77.28761748767657",39.11351351,37.10769231,41.34857143,42.56470588,46.68387097,49.90344828,46.68387097,38.08421053,30.79148936,33.65581395,29.53469388,28.944,28.37647059,30.15,28.944,28.944,26.31272727,27.83076923,26.31272727,24.52881356,25.38947368,32.16,33.65581395,36.18,33.88336153,4662.964584,2886.64
23,23,Mathura Road ,28.55242,77.27303,20-02-2018,South East ,13,1,1,12866,12166,2865,638,812,497,1333,129,1,31307,"28.55097796232379, 77.27415442115361","28.554002080718718, 77.27190830393086",37.01538462,37.98947368,37.98947368,42.45882353,43.74545455,46.56774194,37.01538462,34.37142857,27.23773585,20.62285714,22.55625,23.28387097,24.88965517,26.73333333,26.73333333,27.23773585,28.30588235,29.46122449,26.73333333,26.24727273,30.71489362,35.2097561,36.09,28.872,31.58676248,670.35518,4346.98
24,24,Srinagar Kanyakumari Highway ,28.52445,77.29238,20-02-2018,South East ,13,0,0,17194,14375,1705,951,914,733,909,85,2,36868,"28.522842263222095, 77.29322882682628","28.526005683407654, 77.29134914012165",46.21935484,46.21935484,47.76,51.17142857,53.06666667,55.10769231,51.17142857,47.76,28.09411765,15.74505495,20.76521739,26.05090909,37.70526316,39.8,37.70526316,38.72432432,39.8,39.8,38.72432432,38.72432432,40.93714286,43.41818182,44.775,44.775,40.5841687,1016.342625,5022.66
